,COUNTRY,GDP (BILLIONS),CODE
0,Afghanistan,21.71,AFG
1,Albania,13.4,ALB
2,Algeria,227.8,DZA
3,American Samoa,0.75,ASM
4,Andorra,4.8,AND
5,Angola,131.4,AGO
6,Anguilla,0.18,AIA
7,Antigua and Barbuda,1.24,ATG
8,Argentina,536.2,ARG
9,Armenia,10.88,ARM
10,Aruba,2.52,ABW
11,Australia,1483.0,AUS
12,Austria,436.1,AUT
13,Azerbaijan,77.91,AZE
14,"Bahamas, The",8.65,BHM
15,Bahrain,34.05,BHR
16,Bangladesh,186.6,BGD
17,Barbados,4.28,BRB
18,Belarus,75.25,BLR
19,Belgium,527.8,BEL
20,Belize,1.67,BLZ
21,Benin,9.24,BEN
22,Bermuda,5.2,BMU
23,Bhutan,2.09,BTN
24,Bolivia,34.08,BOL
25,Bosnia and Herzegovina,19.55,BIH
26,Botswana,16.3,BWA
27,Brazil,2244.0,BRA
28,British Virgin Islands,1.1,VGB
29,Brunei,17.43,BRN
30,Bulgaria,55.08,BGR
31,Burkina Faso,13.38,BFA
32,Burma,65.29,MMR
33,Burundi,3.04,BDI
34,Cabo Verde,1.98,CPV
35,Cambodia,16.9,KHM
36,Cameroon,32.16,CMR
37,Canada,1794.0,CAN
38,Cayman Islands,2.25,CYM
39,Central African Republic,1.73,CAF
40,Chad,15.84,TCD
41,Chile,264.1,CHL
42,China,10360.0,CHN
43,Colombia,400.1,COL
44,Comoros,0.72,COM
45,"Congo, Democratic Republic of the",32.67,COD
46,"Congo, Republic of the",14.11,COG
47,Cook Islands,0.18,COK
48,Costa Rica,50.46,CRI
49,Cote d'Ivoire,33.96,CIV
50,Croatia,57.18,HRV
51,Cuba,77.15,CUB
52,Curacao,5.6,CUW
53,Cyprus,21.34,CYP
54,Czech Republic,205.6,CZE
55,Denmark,347.2,DNK
56,Djibouti,1.58,DJI
57,Dominica,0.51,DMA
58,Dominican Republic,64.05,DOM
59,Ecuador,100.5,ECU
60,Egypt,284.9,EGY
61,El Salvador,25.14,SLV
62,Equatorial Guinea,15.4,GNQ
63,Eritrea,3.87,ERI
64,Estonia,26.36,EST
65,Ethiopia,49.86,ETH
66,Falkland Islands (Islas Malvinas),0.16,FLK
67,Faroe Islands,2.32,FRO
68,Fiji,4.17,FJI
69,Finland,276.3,FIN
70,France,2902.0,FRA
71,French Polynesia,7.15,PYF
72,Gabon,20.68,GAB
73,"Gambia, The",0.92,GMB
74,Georgia,16.13,GEO
75,Germany,3820.0,DEU
76,Ghana,35.48,GHA
77,Gibraltar,1.85,GIB
78,Greece,246.4,GRC
79,Greenland,2.16,GRL
80,Grenada,0.84,GRD
81,Guam,4.6,GUM
82,Guatemala,58.3,GTM
83,Guernsey,2.74,GGY
